Name,Hashtag
Tarantula,TTA
Big Pearl,BPL
Blue Smoke,BSK
H2 Blue,H2B
Super Turtle,SRT
Olympia,OLM
Starman,SMA
Rastafarian,RTA
White Widow,WWW
Mocha Madness,MMS
Glassy,GSY
Slimer,SLR
Fantasy,FSY
Silver Bolt,SBL
Deep Ocean,DON
Blue Moon,BMO
Wisp Of Darkness,WOD
Cat's Eye,CYE
Reflektor,RFR
OddBall,OBL
The Flash,TFS
Snake's Tub,SST
Blazing Fireball,BLF
Summer Sky,SUM
Black Knight,BLA
Pollo Loco,POL
Marbly McMarbleface,MMM
Quicksilver,QUI
Slimer,SLI
Ghost Plasma,GHO
Dragon's Egg,DRA
Cobra,COB
El Capitan,ELC
